,Country/Region,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020
40,China,278.0,309.0,571.0,830.0,1297.0,1985.0,2741.0,4537.0,5997.0,7736.0,9720.0,11821.0,14411.0,17238.0,20471.0,24363.0,28060.0,31211.0,34598.0,37251.0,40235.0,42708.0,44730.0,46550.0,48548.0,50054.0,51174.0,70635.0,72528.0,74280.0,74675.0,75569.0,76392.0,77042.0,77262.0,77780.0,78191.0,78630.0,78961.0,79394.0,79968.0,80174.0,80304.0,80422.0,80565.0,80711.0,80813.0,80859.0,80904.0,80924.0,80955.0,80981.0,80991.0,81021.0,81048.0,81077.0,81116.0,81116.0,81174.0,81300.0,81416.0,81498.0,81601.0,81747.0,81848.0,81961.0,82078.0,82230.0,82341.0,82447.0,82545.0,82631.0,82724.0,82802.0
41,Republic of Korea,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,11.0,12.0,15.0,15.0,16.0,18.0,23.0,24.0,24.0,27.0,27.0,28.0,28.0,28.0,28.0,28.0,29.0,30.0,31.0,51.0,104.0,204.0,346.0,602.0,763.0,977.0,1261.0,1766.0,2337.0,3150.0,3736.0,4212.0,4812.0,5328.0,5766.0,6284.0,6767.0,7134.0,7382.0,7513.0,7755.0,7869.0,7979.0,8086.0,8162.0,8236.0,8320.0,8320.0,8413.0,8652.0,8799.0,8897.0,8961.0,9037.0,9137.0,9241.0,9332.0,9478.0,9583.0,9661.0,9786.0,9887.0,9976.0,10062.0
42,Australia,0.0,0.0,0.0,0.0,3.0,3.0,4.0,5.0,7.0,7.0,9.0,12.0,12.0,12.0,12.0,13.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,17.0,21.0,21.0,21.0,22.0,23.0,23.0,23.0,24.0,25.0,27.0,33.0,43.0,57.0,57.0,62.0,74.0,77.0,92.0,112.0,122.0,140.0,197.0,249.0,298.0,375.0,414.0,510.0,709.0,873.0,1081.0,1396.0,1709.0,2252.0,2799.0,2985.0,3635.0,3966.0,3966.0,4359.0,4707.0,4976.0,5224.0
43,Malaysia,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,4.0,7.0,8.0,8.0,8.0,8.0,10.0,10.0,12.0,14.0,15.0,17.0,18.0,18.0,18.0,18.0,19.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,24.0,24.0,24.0,24.0,29.0,50.0,50.0,55.0,83.0,93.0,93.0,117.0,129.0,129.0,129.0,197.0,238.0,553.0,553.0,553.0,673.0,900.0,1030.0,1183.0,1306.0,1518.0,1624.0,1796.0,2031.0,2161.0,2320.0,2470.0,2626.0,2766.0,2908.0,3116.0
44,Japan,1.0,1.0,1.0,1.0,3.0,3.0,4.0,6.0,7.0,11.0,14.0,17.0,20.0,20.0,20.0,33.0,25.0,25.0,25.0,26.0,26.0,26.0,28.0,29.0,33.0,41.0,53.0,59.0,65.0,73.0,85.0,93.0,105.0,132.0,144.0,157.0,164.0,186.0,210.0,230.0,239.0,254.0,268.0,284.0,317.0,349.0,408.0,455.0,488.0,514.0,568.0,620.0,675.0,716.0,780.0,814.0,829.0,829.0,873.0,950.0,996.0,1046.0,1089.0,1128.0,1193.0,1291.0,1387.0,1499.0,1693.0,1866.0,1953.0,2178.0,2384.0,2617.0
45,Philippines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,6.0,10.0,33.0,49.0,52.0,52.0,64.0,111.0,140.0,187.0,187.0,187.0,217.0,230.0,307.0,380.0,462.0,552.0,636.0,707.0,803.0,1075.0,1418.0,1546.0,2084.0,2311.0,2633.0
46,Singapore,0.0,0.0,0.0,1.0,3.0,3.0,4.0,7.0,7.0,10.0,13.0,16.0,18.0,18.0,18.0,24.0,28.0,30.0,33.0,40.0,43.0,45.0,47.0,50.0,58.0,67.0,72.0,75.0,77.0,81.0,84.0,85.0,86.0,89.0,89.0,90.0,91.0,93.0,96.0,98.0,102.0,106.0,108.0,110.0,110.0,117.0,130.0,138.0,150.0,160.0,166.0,178.0,187.0,200.0,212.0,243.0,243.0,266.0,313.0,345.0,385.0,432.0,455.0,507.0,558.0,631.0,683.0,732.0,802.0,844.0,879.0,926.0,1000.0,1049.0
47,New Zealand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,11.0,11.0,20.0,39.0,53.0,66.0,102.0,102.0,189.0,262.0,338.0,416.0,476.0,552.0,600.0,647.0,723.0,774.0
48,Vietnam,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,6.0,7.0,8.0,9.0,10.0,10.0,12.0,13.0,14.0,14.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,21.0,30.0,31.0,35.0,39.0,39.0,48.0,53.0,57.0,61.0,61.0,66.0,85.0,91.0,94.0,113.0,123.0,134.0,141.0,153.0,169.0,179.0,188.0,203.0,207.0,218.0,233.0
49,Brunei Darussalam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,12.0,25.0,40.0,50.0,50.0,54.0,56.0,73.0,78.0,83.0,88.0,91.0,104.0,109.0,114.0,115.0,120.0,126.0,127.0,129.0,131.0,133.0
