,Country/Region,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20
0,Burundi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016819754465224315,0.00016819754465224315,0.0002522963169783647,0.0002522963169783647,0.0002522963169783647,0.0002522963169783647,0.0002522963169783647,0.0002522963169783647,0.0002522963169783647,0.0002522963169783647
1,Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010121457489878543,0.0010121457489878543,0.0010121457489878543,0.0010121457489878543,0.0010121457489878543,0.003036437246963563,0.003036437246963563,0.011133603238866396,0.011133603238866396,0.012145748987854251,0.01417004048582996,0.018218623481781375,0.018218623481781375,0.030364372469635626,0.03340080971659919,0.04048582995951417,0.04959514170040486,0.05060728744939271,0.0597165991902834,0.09109311740890688,0.09109311740890688,0.13663967611336034,0.13663967611336034
2,Eritrea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028197370313244585,0.00028197370313244585,0.00028197370313244585,0.00028197370313244585,0.0011278948125297834,0.0016918422187946753,0.0016918422187946753,0.0016918422187946753,0.0033836844375893507,0.0033836844375893507,0.004229605546986689,0.004229605546986689,0.0062034214689138095,0.0062034214689138095,0.008177237390840931,0.008177237390840931,0.008741184797105823,0.008741184797105823,0.009305132203370713,0.009305132203370713
3,Ethiopia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.698406921565942e-06,8.698406921565942e-06,8.698406921565942e-06,4.3492034607829714e-05,4.3492034607829714e-05,5.219044152939566e-05,5.219044152939566e-05,7.828566229409348e-05,7.828566229409348e-05,9.568247613722537e-05,9.568247613722537e-05,0.00010438088305879132,0.00010438088305879132,0.00010438088305879132,0.00013917451074505507,0.00013917451074505507,0.0001826665453528848,0.00020006335919601668,0.0002261585799607145,0.0002522538007254123,0.0002522538007254123,0.00030444424225480797,0.00033053946301950585,0.00037403149762733554,0.0003827299045489015,0.000452317159921429,0.00047841238068612683,0.0004871107876076928
4,Kenya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8597281449397725e-05,1.8597281449397725e-05,5.579184434819318e-05,5.579184434819318e-05,5.579184434819318e-05,5.579184434819318e-05,0.00013018097014578408,0.00013018097014578408,0.00013018097014578408,0.0002789592217409659,0.0002975565031903636,0.00046493203623494315,0.0005207238805831363,0.0005765157249313295,0.0005765157249313295,0.0007066966950771136,0.0007810858208747045,0.0009298640724698863,0.001097239605514466,0.0015063797974012158,0.00204570095943375,0.0022688683368265227,0.0023432574626241136,0.002640813965814477,0.0029383704690048407,0.003198732409296409,0.003328913379442193,0.0034218997866891816
5,Madagascar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010833837106758797,0.00010833837106758797,0.00010833837106758797,0.0004333534842703519,0.0006139174360496652,0.0006861430167613905,0.0008305941781848412,0.0009389325492524291,0.0009389325492524291,0.0014083988238786436,0.0015528499853020943,0.0020584290502841714,0.0020584290502841714,0.0021306546309958966,0.002527895324910386,0.002527895324910386,0.002600120905622111,0.002961248809180738,0.0031779255513159138,0.003358489503095227,0.003358489503095227
6,Malawi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015682207385692392,0.00015682207385692392,0.00020909609847589856,0.00020909609847589856,0.0002613701230948732,0.0004181921969517971,0.0004181921969517971,0.0004181921969517971
7,Mauritius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023589170997900563,0.0023589170997900563,0.009435668399160225,0.011008279799020262,0.022016559598040525,0.028307005197480677,0.03302483939706079,0.0377426735966409,0.06369076169433152,0.07391273579342177,0.08020318139286192,0.08413470989251201,0.10064712959104241,0.11244171508999269,0.12659521768873302,0.13288566328817317,0.1462528601869835,0.15411591718628367,0.17849139388411428,0.19185859078292458,0.21072992758124504,0.21466145608089512,0.2468999897780259
8,Mozambique,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.19944304095543e-05,3.19944304095543e-05,9.598329122866292e-05,0.00015997215204777154,0.00022396101286688015,0.00022396101286688015,0.0002559554432764344,0.0002559554432764344,0.0002559554432764344,0.0002559554432764344,0.0003199443040955431,0.0003199443040955431,0.0003199443040955431,0.0003199443040955431,0.0003199443040955431,0.0003199443040955431,0.0003199443040955431,0.0005439053169624232,0.0005439053169624232
9,Rwanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.720690137049972e-05,7.720690137049972e-05,0.00038603450685249855,0.000540448309593498,0.0006176552109639977,0.0006176552109639977,0.001312517323298495,0.001312517323298495,0.0014669311260394945,0.0027794484493379895,0.0030882760548199884,0.003165482956190488,0.0038603450685249854,0.004169172674006984,0.004632414082229983,0.0054044830959349794,0.0054044830959349794,0.005790517602787478,0.006330965912380976,0.006485379715121976,0.0068714142219744746,0.00787510393979097,0.00802951774253197,0.00810672464390247,0.00810672464390247,0.008492759150754968,0.008492759150754968
10,Seychelles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02033760423022168,0.02033760423022168,0.03050640634533252,0.04067520846044336,0.04067520846044336,0.06101281269066504,0.07118161480577588,0.07118161480577588,0.07118161480577588,0.07118161480577588,0.07118161480577588,0.07118161480577588,0.07118161480577588,0.07118161480577588,0.08135041692088672,0.08135041692088672,0.08135041692088672,0.1016880211511084,0.1016880211511084,0.1016880211511084,0.1016880211511084,0.1016880211511084,0.1016880211511084,0.11185682326621924,0.11185682326621924,0.11185682326621924,0.11185682326621924
