,Country/Region,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20
0,Burundi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16819754465224315,0.16819754465224315,0.25229631697836474,0.25229631697836474,0.25229631697836474,0.25229631697836474,0.25229631697836474,0.25229631697836474,0.25229631697836474,0.25229631697836474,0.25229631697836474,0.42049386163060787,0.42049386163060787,0.42049386163060787,0.42049386163060787
1,Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0121457489878543,1.0121457489878543,1.0121457489878543,1.0121457489878543,1.0121457489878543,3.0364372469635628,3.0364372469635628,11.133603238866396,11.133603238866396,12.145748987854251,14.17004048582996,18.218623481781375,18.218623481781375,30.364372469635626,33.40080971659919,40.48582995951417,49.59514170040486,50.607287449392715,59.716599190283404,91.09311740890688,91.09311740890688,136.63967611336034,136.63967611336034,151.82186234817814,189.27125506072875,216.59919028340082,301.6194331983806,367.4089068825911
2,Eritrea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2819737031324459,0.2819737031324459,0.2819737031324459,0.2819737031324459,1.1278948125297836,1.6918422187946753,1.6918422187946753,1.6918422187946753,3.3836844375893507,3.3836844375893507,4.229605546986688,4.229605546986688,6.20342146891381,6.20342146891381,8.177237390840931,8.177237390840931,8.741184797105822,8.741184797105822,9.305132203370714,9.305132203370714,9.58710590650316,9.58710590650316,9.58710590650316,9.58710590650316,9.58710590650316
3,Ethiopia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008698406921565942,0.008698406921565942,0.008698406921565942,0.043492034607829716,0.043492034607829716,0.052190441529395656,0.052190441529395656,0.07828566229409349,0.07828566229409349,0.09568247613722537,0.09568247613722537,0.10438088305879131,0.10438088305879131,0.10438088305879131,0.13917451074505507,0.13917451074505507,0.1826665453528848,0.20006335919601667,0.2261585799607145,0.2522538007254123,0.2522538007254123,0.304444242254808,0.3305394630195058,0.37403149762733556,0.3827299045489015,0.452317159921429,0.47841238068612685,0.4871107876076928,0.5653964499017863,0.6001900775880501,0.617586891431182,0.6436821121958798,0.7132693675684073
4,Kenya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018597281449397728,0.018597281449397728,0.055791844348193176,0.055791844348193176,0.055791844348193176,0.055791844348193176,0.1301809701457841,0.1301809701457841,0.1301809701457841,0.2789592217409659,0.29755650319036364,0.46493203623494317,0.5207238805831363,0.5765157249313295,0.5765157249313295,0.7066966950771136,0.7810858208747045,0.9298640724698863,1.0972396055144658,1.5063797974012159,2.04570095943375,2.2688683368265226,2.3432574626241136,2.640813965814477,2.9383704690048407,3.198732409296409,3.328913379442193,3.4218997866891816,3.5148861939361704,3.5520807568349655,3.663664445531352,3.868234541474727,4.017012793069909
5,Madagascar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10833837106758798,0.10833837106758798,0.10833837106758798,0.4333534842703519,0.6139174360496652,0.6861430167613906,0.8305941781848412,0.9389325492524291,0.9389325492524291,1.4083988238786436,1.5528499853020943,2.0584290502841713,2.0584290502841713,2.1306546309958967,2.527895324910386,2.527895324910386,2.6001209056221115,2.961248809180738,3.177925551315914,3.3584895030952273,3.3584895030952273,3.3584895030952273,3.683504616297991,3.8279557777214417,3.8279557777214417,3.900181358433167
6,Malawi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1568220738569239,0.1568220738569239,0.20909609847589855,0.20909609847589855,0.2613701230948732,0.4181921969517971,0.4181921969517971,0.4181921969517971,0.4704662215707717,0.6272882954276956,0.6795623200466703,0.8363843939035942,0.8363843939035942
7,Mauritius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3589170997900566,2.3589170997900566,9.435668399160226,11.008279799020263,22.016559598040526,28.307005197480677,33.02483939706079,37.742673596640905,63.69076169433152,73.91273579342177,80.20318139286192,84.134709892512,100.6471295910424,112.44171508999268,126.59521768873303,132.8856632881732,146.2528601869835,154.1159171862837,178.49139388411427,191.85859078292458,210.72992758124505,214.66145608089514,246.8999897780259,250.04521257774599,250.831518277676,254.76304677732608,254.76304677732608,254.76304677732608
8,Mozambique,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031994430409554304,0.031994430409554304,0.09598329122866292,0.15997215204777154,0.22396101286688014,0.22396101286688014,0.25595544327643444,0.25595544327643444,0.25595544327643444,0.25595544327643444,0.3199443040955431,0.3199443040955431,0.3199443040955431,0.3199443040955431,0.3199443040955431,0.3199443040955431,0.3199443040955431,0.5439053169624232,0.5439053169624232,0.6398886081910862,0.6398886081910862,0.6718830386006405,0.6718830386006405,0.8958440514675206
9,Rwanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07720690137049971,0.07720690137049971,0.38603450685249857,0.540448309593498,0.6176552109639977,0.6176552109639977,1.312517323298495,1.312517323298495,1.4669311260394946,2.7794484493379894,3.0882760548199886,3.165482956190488,3.8603450685249854,4.169172674006984,4.632414082229983,5.40448309593498,5.40448309593498,5.790517602787478,6.330965912380976,6.485379715121976,6.871414221974474,7.875103939790971,8.02951774253197,8.106724643902469,8.106724643902469,8.492759150754969,8.492759150754969,9.110414361718966,9.264828164459965,9.728069572682964,9.805276474053464,10.345724783646961
